#                   file   nse gr rec1 rec2     id1     id2  n_avr a_max a  m  f  g asun_sca asmi_sca pro_sca asun_sol asmi_sol pro_sol      Ls      obs      ifg               utc_start
#                      1     2  3    4    5       6       7      8     910 11 12 13       14       15      16       17       18      19      20       21       22                      23
099001_2018-162T11-29-19  2448  3  329  872  111187  111730  26331 16506 1  5  4  2  145.273  145.271   0.000    0.430    0.429 100.000 191.406 OCC_SOL  SHORT    2018-JUN-11-12:34:09.58
099301_2018-162T17-22-59  2451  2  555 1144  127764  128353  26331 16556 1  5  4  2  145.274  145.270   0.000    0.437    0.435 100.000 191.567 OCC_SOL  SHORT    2018-JUN-11-19:11:50.58
09D301_2018-167T23-06-16  2515  2 1709 2354   64689   65334  26320 16474 1  5  4  2  145.272  145.268   0.000    0.437    0.434 100.000 194.630 OCC_SOL  SHORT    2018-JUN-17-00:54:11.46
09D601_2018-168T04-59-56  2518  3 1027 1629  104110  104712  26324 16475 1  5  4  2  145.273  145.270   0.000    0.430    0.429 100.000 194.757 OCC_SOL  SHORT    2018-JUN-17-06:05:27.57
09D801_2018-168T08-55-42  2520  3 1031 1638  133884  134491  26324 16479 1  5  4  2  145.202  145.183   0.000    0.430    0.429 100.000 194.853 OCC_SOL  SHORT    2018-JUN-17-10:01:09.53
09DE01_2018-168T20-42-52  2526  3 1037 1653  223019  223635  26325 16543 1  5  4  2  145.273  145.271   0.000    0.430    0.429 100.000 195.142 OCC_SOL  SHORT    2018-JUN-17-21:48:29.60
09E201_2018-169T04-34-18  2530  3 1035 1656  282795  283416  26327 16748 1  5  4  2  145.273  145.271   0.000    0.430    0.429 100.000 195.334 OCC_SOL  SHORT    2018-JUN-18-05:40:02.63
09FC01_2018-171T07-38-51  2556  3 1045 1728  668912  669595  26341 16936 1  5  4  2  145.704  145.622   0.000    0.430    0.429 100.000 196.588 OCC_SOL  SHORT    2018-JUN-20-08:45:07.63
09FC01_2018-171T07-38-51  2556  5 2253 2987  673802  674536  26341 16901 1  5  4  2  145.624  145.619   0.000    0.436    0.434 100.000 196.604 OCC_SOL  SHORT    2018-JUN-20-09:25:28.62
0A0601_2018-172T03-17-26  2566  3 1043 1755  817394  818106  26340 16922 1  5  4  2  145.360  145.358   0.000    0.430    0.428 100.000 197.071 OCC_SOL  SHORT    2018-JUN-21-04:24:01.64
0A0601_2018-172T03-17-26  2566  5 2266 3031  822193  822958  26339 16906 1  5  4  2  145.184  145.180   0.000    0.436    0.434 100.000 197.088 OCC_SOL  SHORT    2018-JUN-21-05:03:36.55
0A0F01_2018-172T20-58-21  2575  3 1051 1794  949668  950411  26342 17011 1  5  4  2  145.272  145.270   0.000    0.430    0.428 100.000 197.507 OCC_SOL  SHORT    2018-JUN-21-22:05:13.59
0A0F01_2018-172T20-58-21  2575  5 2287 3088  954359  955160  26353 17055 1  5  4  2  145.272  145.268   0.000    0.436    0.434 100.000 197.523 OCC_SOL  SHORT    2018-JUN-21-22:44:00.62
0A1201_2018-173T02-51-51  2578  3 1055 1810  994188  994943  26344 17021 1  5  4  2  145.272  145.270   0.000    0.430    0.428 100.000 197.652 OCC_SOL  SHORT    2018-JUN-22-03:58:49.52
0A1201_2018-173T02-51-51  2578  5 2297 3110  998845  999658  26343 16945 1  5  4  2  145.300  145.268   0.000    0.436    0.434 100.000 197.668 OCC_SOL  SHORT    2018-JUN-22-04:37:19.59
0A1401_2018-173T06-47-40  2580  3 1053 1816 1023690 1024453  26343 17037 1  5  4  2  145.448  145.360   0.000    0.430    0.428 100.000 197.749 OCC_SOL  SHORT    2018-JUN-22-07:54:45.59
0A1401_2018-173T06-47-40  2580  5 2299 3120 1028310 1029131  26342 16968 1  5  4  2  145.799  145.708   0.000    0.436    0.434 100.000 197.765 OCC_SOL  SHORT    2018-JUN-22-08:33:03.56
0A1A01_2018-173T18-34-56  2586  3 1057 1848 1111430 1112221  26344 17041 1  5  4  2  145.280  145.270   0.000    0.430    0.428 100.000 198.040 OCC_SOL  SHORT    2018-JUN-22-19:42:12.62
0A1A01_2018-173T18-34-56  2586  5 2317 3169 1115979 1116831  26343 16976 1  5  4  2  145.184  145.180   0.000    0.436    0.434 100.000 198.055 OCC_SOL  SHORT    2018-JUN-22-20:19:50.61
0A1E01_2018-174T02-26-21  2590  3 1057 1868 1170942 1171753  26345 17026 1  5  4  2  145.261  145.182   0.000    0.430    0.428 100.000 198.234 OCC_SOL  SHORT    2018-JUN-23-03:33:45.63
0A1E01_2018-174T02-26-21  2590  5 2331 3202 1175461 1176332  26356 17100 1  5  4  2  145.272  145.268   0.000    0.436    0.434 100.000 198.249 OCC_SOL  SHORT    2018-JUN-23-04:10:59.62
0A2101_2018-174T08-20-04  2593  3 1063 1888 1215467 1216292  26344 17089 1  5  4  2  145.273  145.270   0.000    0.430    0.429 100.000 198.379 OCC_SOL  SHORT    2018-JUN-23-09:27:38.83
0A2101_2018-174T08-20-04  2593  5 2343 3231 1219928 1220816  26344 16993 1  5  4  2  145.418  145.356   0.000    0.436    0.434 100.000 198.395 OCC_SOL  SHORT    2018-JUN-23-10:04:29.64
0A2601_2018-174T18-09-22  2598  3 1069 1923   26337   27191  26327 16735 1  5  4  2  145.272  145.270   0.000    0.430    0.428 100.000 198.622 OCC_SOL  SHORT    2018-JUN-23-19:17:10.81
